Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Custom Shape,GCT,Group,Optional,Shape ID,"type ""1""  to show  uom","type ""1""  to show kn-code","type ""1"" to activate kn colors"
145,Line,,2,,,63,66,None,Arrow,,,,,,,,,,,,
146,Line,,2,,,64,67,None,Arrow,,,,,,,,,,,,
147,Line,,2,,,48,68,None,Arrow,,,,,,,,,,,,
148,Line,,2,,,68,69,None,Arrow,,Yes,,,,,,,,,,
149,Line,,2,,,69,70,None,Arrow,,,,,,,,,,,,
150,Line,,2,,,68,71,None,Arrow,,No,,,,,,,,,,
151,Line,,2,,,70,71,None,Arrow,,,,,,,,,,,,
152,Line,,2,,,71,72,None,Arrow,,Yes,,,,,,,,,,
153,Line,,2,,,72,73,None,Arrow,,,,,,,,,,,,
154,Line,,2,,,73,83,None,Arrow,,,,,,,,,,,,
155,Line,,2,,,71,83,None,Arrow,,,,,,,,,,,,
156,Line,,2,,,57,74,None,Arrow,,,,,,,,,,,,
157,Line,,2,,,61,62,None,Arrow,,,,,,,,,,,,
158,Line,,2,,,60,75,None,Arrow,,,,,,,,,,,,
159,Line,,2,,,75,76,None,Arrow,,,,,,,,,,,,
160,Line,,2,,,76,78,None,Arrow,,Yes,,,,,,,,,,
161,Line,,2,,,78,77,None,Arrow,,,,,,,,,,,,
162,Line,,2,,,77,79,None,Arrow,,Yes,,,,,,,,,,
163,Line,,2,,,79,61,None,Arrow,,,,,,,,,,,,
164,Line,,2,,,76,77,None,Arrow,,No,,,,,,,,,,
165,Line,,2,,,77,61,None,Arrow,,No,,,,,,,,,,
166,Line,,2,,,78,80,None,Arrow,,,,,,,,,,,,
167,Line,,2,,,79,81,None,Arrow,,,,,,,,,,,,
168,Line,,2,,,80,82,None,Arrow,,,,,,,,,,,,
169,Line,,2,,,81,82,None,Arrow,,,,,,,,,,,,
170,Line,,2,,,82,61,None,Arrow,,,,,,,,,,,,
171,Line,,2,,,83,84,None,Arrow,,YES,,,,,,,,,,
172,Line,,2,,,84,85,None,Arrow,,,,,,,,,,,,
173,Line,,2,,,85,87,None,Arrow,,,,,,,,,,,,
174,Line,,2,,,87,86,None,Arrow,,,,,,,,,,,,
175,Line,,2,,,89,88,None,Arrow,,,,,,,,,,,,
176,Line,,2,,,90,89,None,Arrow,,Pallet completed,,,,,,,,,,
177,Line,,2,,,88,91,None,Arrow,,,,,,,,,,,,
178,Line,,2,,,86,90,None,Arrow,,,,,,,,,,,,
179,Line,,2,,,83,93,None,Arrow,,NO,,,,,,,,,,
180,Line,,2,,,95,96,None,Arrow,,,,,,,,,,,,
181,Line,,2,,,96,97,None,Arrow,,,,,,,,,,,,
182,Line,,2,,,97,98,None,Arrow,,,,,,,,,,,,
183,Line,,2,,,93,94,None,Arrow,,YES,,,,,,,,,,
184,Line,,2,,,94,95,None,Arrow,,,,,,,,,,,,
185,Line,,2,,,93,52,None,Arrow,,NO,,,,,,,,,,
186,Line,,2,,,46,99,None,Arrow,,Error (e.g unreadable),,,,,,,,,,
187,Line,,2,,,50,60,None,Arrow,,,,,,,,,,,,
188,Line,,2,,,59,47,None,Arrow,,,,,,,,,,,,
189,Line,,2,,,47,49,None,Arrow,,,,,,,,,,,,
190,Line,,2,,,58,100,None,Arrow,,,,,,,,,,,,
191,Line,,2,,,58,48,None,Arrow,,,,,,,,,,,,
192,Line,,2,,,102,101,None,Arrow,,,,,,,,,,,,
193,Line,,2,,,103,104,None,Arrow,,,,,,,,,,,,
194,Line,,2,,,105,106,None,Arrow,,,,,,,,,,,,
195,Line,,2,,,109,108,None,Arrow,,,,,,,,,,,,
196,Line,,2,,,108,110,None,Arrow,,,,,,,,,,,,
197,Line,,2,,,111,92,None,Arrow,,,,,,,,,,,,
198,Line,,2,,,107,92,None,Arrow,,,,,,,,,,,,
199,Line,,2,,,33,92,None,Arrow,,,,,,,,,,,,
200,Line,,2,,,92,112,None,Arrow,,,,,,,,,,,,
201,Line,,2,,,112,34,None,Arrow,,,,,,,,,,,,
